Gene	logFC_BH	PValue_BH	logFC_BC	PValue_BC	logFC_HC	PValue_HC	logFC_LB	PValue_LB	FDR_BH	FDR_BC	FDR_HC	FDR_LB
FBgn0010019	0.32	0.00	0.39	0.00	0.07	0.43	0.72	0.00	0.00	0.01	0.60	0.00
FBgn0263006	-0.48	0.00	-0.25	0.01	0.22	0.01	-0.73	0.00	0.00	0.17	0.05	0.00
FBgn0032505	0.26	0.00	0.10	0.19	-0.16	0.02	0.36	0.00	0.00	0.55	0.07	0.08
FBgn0002940	0.04	0.51	0.06	0.40	0.02	0.76	0.10	0.40	0.72	0.73	0.86	0.85
FBgn0000064	-0.13	0.02	-0.14	0.03	-0.01	0.91	-0.27	0.01	0.11	0.27	0.95	0.14
FBgn0264695	-0.66	0.00	-0.35	0.00	0.30	0.00	-1.01	0.00	0.00	0.05	0.01	0.00
FBgn0004181	-0.18	0.14	-0.12	0.39	0.06	0.62	-0.30	0.19	0.35	0.72	0.76	0.66
FBgn0038294	-0.04	0.45	-0.06	0.38	-0.02	0.80	-0.10	0.36	0.67	0.71	0.88	0.82
FBgn0085249	-0.08	0.46	0.00	0.99	0.08	0.45	-0.08	0.70	0.68	1.00	0.62	0.96
FBgn0261853	0.15	0.06	0.06	0.53	-0.09	0.23	0.21	0.17	0.21	0.80	0.40	0.63
FBgn0010217	-0.36	0.00	-0.31	0.00	0.04	0.54	-0.67	0.00	0.00	0.01	0.70	0.00
FBgn0038762	0.05	0.39	-0.09	0.18	-0.14	0.02	-0.04	0.71	0.62	0.54	0.06	0.96
FBgn0027571	0.12	0.15	0.01	0.89	-0.11	0.20	0.13	0.40	0.37	0.96	0.36	0.85
FBgn0000556	0.07	0.25	0.09	0.25	0.01	0.85	0.16	0.20	0.49	0.61	0.91	0.66
FBgn0053229	-0.19	0.00	0.07	0.34	0.27	0.00	-0.12	0.37	0.04	0.68	0.00	0.83
FBgn0000055	0.56	0.00	0.39	0.04	-0.17	0.32	0.95	0.00	0.01	0.29	0.50	0.06
FBgn0000559	0.01	0.84	0.07	0.23	0.06	0.23	0.08	0.41	0.92	0.59	0.40	0.85
FBgn0083936	0.28	0.01	0.15	0.17	-0.12	0.21	0.43	0.02	0.04	0.53	0.38	0.21
dsim_PG00225	0.23	0.01	0.03	0.78	-0.20	0.03	0.26	0.13	0.08	0.92	0.09	0.56
FBgn0011211	-0.48	0.00	-0.46	0.00	0.02	0.87	-0.94	0.00	0.00	0.00	0.93	0.00
FBgn0003863	0.24	0.00	0.09	0.28	-0.15	0.05	0.33	0.02	0.02	0.64	0.15	0.21
FBgn0002921	-0.13	0.08	-0.04	0.68	0.09	0.21	-0.16	0.25	0.26	0.88	0.38	0.72
FBgn0001091	-0.42	0.00	-0.34	0.00	0.08	0.40	-0.77	0.00	0.00	0.06	0.58	0.00
FBgn0039830	-0.50	0.00	-0.42	0.00	0.08	0.35	-0.92	0.00	0.00	0.00	0.53	0.00
FBgn0086687	0.38	0.00	0.25	0.00	-0.12	0.11	0.63	0.00	0.00	0.10	0.24	0.00
FBgn0025454	-0.23	0.05	-0.02	0.86	0.21	0.08	-0.25	0.26	0.19	0.95	0.18	0.73
FBgn0011559	-0.02	0.80	-0.12	0.21	-0.10	0.24	-0.14	0.38	0.90	0.58	0.41	0.84
FBgn0033774	-0.26	0.25	-0.42	0.11	-0.16	0.49	-0.68	0.11	0.49	0.45	0.66	0.52
FBgn0003360	-0.45	0.00	-0.31	0.00	0.14	0.07	-0.76	0.00	0.00	0.02	0.17	0.00
FBgn0000116	-0.17	0.01	-0.13	0.10	0.05	0.49	-0.30	0.02	0.06	0.43	0.65	0.18
FBgn0261015	-0.01	0.83	0.06	0.44	0.08	0.26	0.05	0.72	0.92	0.75	0.44	0.96
FBgn0035915	0.05	0.40	-0.14	0.05	-0.19	0.00	-0.08	0.46	0.63	0.32	0.01	0.88
FBgn0014184	0.09	0.16	0.13	0.06	0.05	0.45	0.22	0.07	0.39	0.35	0.62	0.39
FBgn0038181	-0.68	0.00	-0.37	0.00	0.31	0.00	-1.05	0.00	0.00	0.02	0.00	0.00
FBgn0040813	0.29	0.01	0.25	0.04	-0.05	0.65	0.54	0.01	0.05	0.30	0.78	0.11
FBgn0250815	-0.02	0.87	-0.03	0.81	-0.01	0.91	-0.05	0.82	0.94	0.93	0.95	0.97
FBgn0010352	-0.03	0.56	0.00	0.97	0.03	0.59	-0.03	0.75	0.76	0.99	0.73	0.96
FBgn0000592	0.15	0.07	0.09	0.36	-0.06	0.44	0.23	0.14	0.24	0.70	0.61	0.56
FBgn0035470	0.04	0.44	-0.12	0.04	-0.15	0.00	-0.08	0.40	0.67	0.29	0.01	0.85
FBgn0262736	-0.19	0.00	-0.04	0.56	0.15	0.01	-0.22	0.04	0.02	0.82	0.05	0.32
FBgn0011669	-0.04	0.60	-0.10	0.32	-0.05	0.53	-0.14	0.38	0.78	0.67	0.69	0.84
FBgn0002570	0.31	0.06	0.08	0.68	-0.23	0.15	0.38	0.21	0.21	0.88	0.30	0.68
FBgn0005666	-0.27	0.10	-0.04	0.84	0.23	0.16	-0.31	0.33	0.30	0.94	0.32	0.80
FBgn0015766	0.01	0.87	0.05	0.41	0.04	0.42	0.06	0.56	0.94	0.73	0.59	0.92
FBgn0265297	0.02	0.77	0.10	0.15	0.08	0.17	0.12	0.31	0.89	0.51	0.33	0.78
FBgn0015623	0.21	0.00	0.27	0.00	0.07	0.22	0.48	0.00	0.00	0.00	0.39	0.00
FBgn0030999	0.22	0.02	0.38	0.00	0.17	0.06	0.60	0.00	0.10	0.01	0.16	0.02
FBgn0000121	0.12	0.09	0.14	0.08	0.02	0.78	0.26	0.05	0.27	0.39	0.87	0.35
FBgn0259795	0.00	0.97	-0.18	0.02	-0.18	0.01	-0.17	0.15	0.99	0.19	0.03	0.60
FBgn0259975	-0.03	0.75	-0.15	0.10	-0.12	0.12	-0.18	0.24	0.87	0.43	0.25	0.72
FBgn0033868	0.06	0.32	-0.14	0.07	-0.20	0.00	-0.07	0.55	0.56	0.36	0.01	0.92
FBgn0261836	-0.07	0.62	0.01	0.98	0.07	0.60	-0.06	0.81	0.80	0.99	0.74	0.97
FBgn0001219	-0.09	0.07	0.06	0.34	0.14	0.00	-0.03	0.72	0.24	0.68	0.02	0.96
FBgn0051872	-0.18	0.03	-0.29	0.00	-0.11	0.19	-0.47	0.00	0.15	0.08	0.35	0.06
FBgn0264489	-0.19	0.00	-0.06	0.47	0.13	0.05	-0.24	0.06	0.04	0.76	0.14	0.36
FBgn0083919	-0.45	0.00	-0.19	0.03	0.27	0.00	-0.64	0.00	0.00	0.25	0.00	0.00
FBgn0086906	-0.14	0.30	0.02	0.89	0.16	0.24	-0.12	0.65	0.54	0.96	0.40	0.94
FBgn0038826	0.01	0.93	-0.10	0.19	-0.10	0.11	-0.09	0.46	0.97	0.55	0.25	0.88
FBgn0040060	-0.05	0.67	0.03	0.85	0.08	0.52	-0.03	0.91	0.82	0.94	0.68	0.99
FBgn0027560	0.17	0.00	0.05	0.43	-0.12	0.03	0.23	0.04	0.03	0.74	0.10	0.29
FBgn0011668	0.03	0.74	-0.12	0.18	-0.15	0.06	-0.10	0.53	0.87	0.54	0.16	0.91
FBgn0011823	0.06	0.31	-0.14	0.04	-0.20	0.00	-0.08	0.47	0.55	0.28	0.01	0.88
FBgn0036091	0.27	0.01	0.43	0.00	0.17	0.07	0.70	0.00	0.04	0.00	0.18	0.00
FBgn0004507	-0.52	0.00	-0.52	0.00	0.00	0.97	-1.04	0.00	0.00	0.00	0.98	0.00
FBgn0052064	0.08	0.18	-0.16	0.02	-0.25	0.00	-0.08	0.47	0.41	0.20	0.00	0.88
FBgn0003178	-0.13	0.08	-0.24	0.00	-0.11	0.12	-0.36	0.01	0.25	0.09	0.26	0.10
FBgn0013733	-0.30	0.02	0.01	0.94	0.31	0.01	-0.29	0.24	0.10	0.98	0.06	0.71
FBgn0035665	-0.10	0.35	0.01	0.91	0.12	0.29	-0.09	0.68	0.59	0.97	0.47	0.95
FBgn0261575	0.45	0.05	-0.22	0.40	-0.67	0.00	0.23	0.60	0.21	0.73	0.02	0.93
FBgn0000615	0.06	0.28	-0.16	0.01	-0.22	0.00	-0.10	0.35	0.52	0.17	0.00	0.82
FBgn0017581	-0.08	0.30	0.23	0.01	0.31	0.00	0.15	0.33	0.54	0.16	0.00	0.80
FBgn0000045	-0.92	0.00	-0.53	0.00	0.38	0.01	-1.45	0.00	0.00	0.06	0.05	0.00
FBgn0004169	-0.68	0.00	-0.40	0.00	0.28	0.00	-1.08	0.00	0.00	0.00	0.01	0.00
FBgn0001942	0.01	0.81	0.06	0.32	0.05	0.37	0.07	0.47	0.91	0.67	0.54	0.88
FBgn0033246	0.30	0.00	0.07	0.47	-0.22	0.01	0.37	0.03	0.01	0.76	0.05	0.24
FBgn0002773	-0.98	0.00	-0.61	0.00	0.37	0.00	-1.59	0.00	0.00	0.00	0.02	0.00
FBgn0022355	0.94	0.00	0.90	0.00	-0.04	0.87	1.84	0.00	0.00	0.04	0.93	0.00
FBgn0000579	-0.24	0.00	-0.26	0.00	-0.01	0.85	-0.50	0.00	0.01	0.05	0.92	0.01
FBgn0003149	-0.56	0.00	-0.33	0.00	0.23	0.00	-0.89	0.00	0.00	0.01	0.02	0.00
FBgn0000409	-0.27	0.00	-0.33	0.00	-0.05	0.38	-0.60	0.00	0.00	0.00	0.56	0.00
FBgn0000120	0.07	0.26	0.16	0.03	0.09	0.15	0.23	0.06	0.50	0.24	0.31	0.36
FBgn0000370	-0.07	0.20	0.07	0.30	0.14	0.01	-0.01	0.96	0.43	0.66	0.05	0.99
FBgn0032049	-0.03	0.83	-0.07	0.64	-0.04	0.74	-0.10	0.69	0.92	0.86	0.85	0.95
FBgn0038271	-0.29	0.00	-0.19	0.01	0.10	0.12	-0.49	0.00	0.00	0.13	0.25	0.00
FBgn0011694	-0.30	0.01	-0.25	0.04	0.04	0.69	-0.55	0.01	0.04	0.29	0.81	0.09
FBgn0029821	0.11	0.19	-0.09	0.37	-0.20	0.02	0.02	0.89	0.43	0.70	0.07	0.99
FBgn0038702	0.74	0.00	0.38	0.16	-0.36	0.13	1.12	0.01	0.02	0.52	0.27	0.16
FBgn0030593	0.32	0.01	0.06	0.66	-0.26	0.03	0.38	0.10	0.06	0.87	0.10	0.49
FBgn0002607	0.06	0.33	0.08	0.27	0.02	0.76	0.14	0.24	0.57	0.63	0.86	0.72
FBgn0017545	0.02	0.75	0.10	0.13	0.08	0.15	0.12	0.28	0.87	0.47	0.30	0.75
FBgn0001145	0.02	0.74	0.14	0.03	0.12	0.03	0.16	0.14	0.87	0.26	0.10	0.57
FBgn0003884	0.02	0.64	-0.09	0.16	-0.11	0.04	-0.06	0.54	0.81	0.51	0.11	0.92
FBgn0037607	0.35	0.00	0.06	0.58	-0.29	0.00	0.41	0.03	0.01	0.83	0.02	0.24
FBgn0262579	0.06	0.37	0.19	0.02	0.13	0.07	0.26	0.06	0.60	0.20	0.17	0.37
FBgn0053340	0.05	0.39	-0.09	0.21	-0.15	0.02	-0.04	0.76	0.62	0.57	0.07	0.96
FBgn0004363	-0.17	0.01	-0.20	0.01	-0.03	0.62	-0.38	0.00	0.07	0.13	0.76	0.05
FBgn0014026	0.02	0.68	0.10	0.12	0.08	0.17	0.13	0.25	0.83	0.46	0.32	0.73
FBgn0031545	0.09	0.15	-0.14	0.05	-0.23	0.00	-0.05	0.67	0.37	0.32	0.00	0.95
FBgn0033286	0.07	0.22	-0.13	0.07	-0.20	0.00	-0.05	0.65	0.45	0.36	0.01	0.94
FBgn0028583	0.33	0.00	0.23	0.02	-0.10	0.23	0.56	0.00	0.00	0.23	0.39	0.02
FBgn0064225	-0.01	0.85	0.08	0.26	0.09	0.13	0.07	0.56	0.93	0.62	0.28	0.92
FBgn0004117	-0.57	0.00	-0.36	0.00	0.21	0.01	-0.94	0.00	0.00	0.01	0.05	0.00
FBgn0261955	-0.59	0.00	-0.36	0.00	0.22	0.03	-0.95	0.00	0.00	0.05	0.08	0.00
FBgn0020910	0.09	0.14	0.08	0.23	0.00	0.94	0.17	0.13	0.36	0.59	0.96	0.56
FBgn0003279	0.09	0.12	0.09	0.21	-0.01	0.93	0.18	0.12	0.33	0.57	0.96	0.53
FBgn0051538	0.10	0.14	-0.11	0.16	-0.21	0.00	-0.01	0.95	0.35	0.52	0.01	0.99
FBgn0000261	0.18	0.03	0.10	0.31	-0.08	0.32	0.28	0.08	0.15	0.66	0.50	0.44
FBgn0000416	0.13	0.04	0.19	0.01	0.06	0.32	0.32	0.01	0.16	0.12	0.50	0.10
FBgn0011695	0.26	0.00	0.27	0.01	0.00	0.95	0.53	0.00	0.03	0.13	0.97	0.03
FBgn0000253	-0.08	0.22	-0.07	0.32	0.00	0.95	-0.15	0.22	0.46	0.67	0.97	0.68
FBgn0026372	0.07	0.22	0.08	0.25	0.01	0.91	0.15	0.18	0.46	0.61	0.95	0.64
FBgn0042627	0.07	0.32	0.31	0.00	0.24	0.00	0.38	0.01	0.56	0.01	0.01	0.08
FBgn0250814	-0.28	0.00	-0.19	0.04	0.09	0.26	-0.47	0.00	0.01	0.30	0.43	0.04
FBgn0034497	-0.59	0.00	-0.37	0.00	0.21	0.04	-0.96	0.00	0.00	0.05	0.11	0.00
FBgn0034144	0.07	0.23	-0.14	0.06	-0.21	0.00	-0.06	0.60	0.47	0.33	0.01	0.93
FBgn0029896	0.10	0.14	0.26	0.00	0.16	0.01	0.35	0.00	0.35	0.03	0.05	0.08
dsim_PG00054	0.20	0.02	0.08	0.44	-0.12	0.17	0.28	0.10	0.12	0.75	0.32	0.49
FBgn0265045	-0.71	0.00	-0.37	0.00	0.34	0.00	-1.08	0.00	0.00	0.01	0.00	0.00
FBgn0052351	0.06	0.39	-0.18	0.02	-0.24	0.00	-0.12	0.33	0.62	0.20	0.00	0.80
FBgn0035917	-0.09	0.09	-0.09	0.16	0.00	0.94	-0.18	0.08	0.27	0.52	0.96	0.44
FBgn0261259	-0.32	0.00	0.10	0.36	0.42	0.00	-0.22	0.24	0.01	0.70	0.00	0.72
FBgn0003517	0.02	0.77	0.09	0.23	0.07	0.27	0.11	0.38	0.89	0.60	0.44	0.84
FBgn0024733	0.10	0.10	0.13	0.07	0.03	0.64	0.24	0.05	0.29	0.36	0.78	0.34
FBgn0033954	0.08	0.19	-0.15	0.04	-0.24	0.00	-0.07	0.56	0.43	0.28	0.00	0.92
FBgn0033287	0.10	0.08	-0.13	0.05	-0.24	0.00	-0.03	0.78	0.26	0.31	0.00	0.97
FBgn0011284	0.07	0.27	0.07	0.31	0.00	0.96	0.14	0.24	0.51	0.66	0.97	0.71
FBgn0004028	-0.61	0.00	-0.37	0.00	0.25	0.00	-0.98	0.00	0.00	0.00	0.01	0.00
FBgn0015221	-0.09	0.12	-0.08	0.20	0.00	0.94	-0.17	0.11	0.32	0.57	0.96	0.52
FBgn0013272	0.01	0.85	0.09	0.19	0.08	0.19	0.10	0.38	0.93	0.55	0.35	0.84
FBgn0032269	0.16	0.04	-0.12	0.18	-0.28	0.00	0.04	0.80	0.18	0.54	0.00	0.97
FBgn0085241	0.24	0.10	-0.05	0.78	-0.29	0.05	0.20	0.48	0.28	0.92	0.13	0.89
FBgn0035087	0.36	0.00	0.18	0.01	-0.18	0.00	0.53	0.00	0.00	0.16	0.02	0.00
FBgn0261113	0.01	0.88	0.01	0.93	0.00	0.96	0.02	0.89	0.94	0.97	0.98	0.99
FBgn0040827	0.55	0.00	0.18	0.03	-0.38	0.00	0.73	0.00	0.00	0.27	0.00	0.00
FBgn0035720	-0.13	0.01	0.04	0.48	0.18	0.00	-0.09	0.35	0.06	0.77	0.01	0.82
FBgn0052230	-0.01	0.93	-0.13	0.13	-0.12	0.10	-0.13	0.33	0.97	0.47	0.22	0.80
FBgn0034132	0.06	0.38	-0.17	0.02	-0.23	0.00	-0.11	0.35	0.62	0.22	0.01	0.82
FBgn0265275	0.01	0.86	0.03	0.69	0.02	0.77	0.05	0.73	0.93	0.88	0.87	0.96
FBgn0262559	-0.49	0.00	-0.42	0.00	0.07	0.40	-0.91	0.00	0.00	0.00	0.58	0.00
FBgn0001128	-0.32	0.00	-0.46	0.00	-0.14	0.15	-0.78	0.00	0.01	0.00	0.30	0.00
FBgn0261552	0.03	0.69	0.03	0.74	0.00	0.99	0.07	0.68	0.84	0.90	1.00	0.95
FBgn0005671	-0.09	0.05	-0.03	0.54	0.06	0.21	-0.13	0.16	0.19	0.81	0.37	0.61
FBgn0034840	0.07	0.25	-0.17	0.02	-0.24	0.00	-0.10	0.41	0.49	0.20	0.00	0.85
FBgn0039757	0.14	0.02	0.10	0.16	-0.04	0.53	0.23	0.04	0.13	0.52	0.69	0.31
FBgn0015324	-0.11	0.03	-0.04	0.45	0.07	0.18	-0.16	0.10	0.13	0.76	0.33	0.50
FBgn0052436	0.11	0.10	-0.16	0.04	-0.27	0.00	-0.05	0.69	0.29	0.28	0.00	0.95
FBgn0020906	-0.36	0.04	-0.21	0.30	0.15	0.41	-0.58	0.09	0.17	0.66	0.58	0.46
FBgn0264307	0.07	0.30	-0.14	0.06	-0.21	0.00	-0.07	0.54	0.54	0.34	0.01	0.92
FBgn0034501	-0.03	0.71	-0.01	0.91	0.02	0.81	-0.04	0.79	0.85	0.96	0.89	0.97
FBgn0031654	-0.31	0.12	-0.05	0.83	0.26	0.19	-0.36	0.34	0.32	0.94	0.35	0.82
FBgn0025683	0.17	0.00	0.08	0.19	-0.09	0.12	0.26	0.02	0.03	0.55	0.25	0.18
FBgn0262508	-0.26	0.00	-0.12	0.15	0.14	0.06	-0.39	0.01	0.01	0.51	0.16	0.09
FBgn0035988	0.14	0.02	-0.15	0.03	-0.29	0.00	-0.02	0.89	0.12	0.25	0.00	0.99
FBgn0003942	0.09	0.14	0.05	0.46	-0.04	0.53	0.14	0.22	0.35	0.76	0.69	0.69
FBgn0051025	0.06	0.34	-0.16	0.02	-0.21	0.00	-0.10	0.39	0.58	0.23	0.00	0.84
FBgn0030828	0.25	0.00	0.25	0.00	0.00	0.94	0.51	0.00	0.00	0.02	0.97	0.00
FBgn0016694	-0.04	0.69	0.32	0.00	0.36	0.00	0.28	0.13	0.84	0.09	0.00	0.56
FBgn0002772	-0.65	0.00	-0.53	0.00	0.12	0.22	-1.19	0.00	0.00	0.00	0.38	0.00
FBgn0034877	-0.23	0.00	-0.23	0.01	0.00	0.95	-0.46	0.00	0.02	0.14	0.97	0.03
FBgn0000044	-0.40	0.00	-0.22	0.01	0.18	0.01	-0.62	0.00	0.00	0.11	0.05	0.00
FBgn0026409	-0.18	0.00	-0.13	0.02	0.05	0.33	-0.31	0.00	0.00	0.21	0.51	0.02
FBgn0039713	0.03	0.58	0.04	0.54	0.01	0.89	0.08	0.51	0.76	0.81	0.94	0.90
FBgn0027291	-0.56	0.00	-0.40	0.00	0.17	0.04	-0.96	0.00	0.00	0.00	0.11	0.00
FBgn0020236	0.27	0.02	0.11	0.39	-0.15	0.18	0.38	0.08	0.11	0.72	0.34	0.45
FBgn0003435	0.07	0.28	-0.12	0.10	-0.19	0.00	-0.05	0.67	0.52	0.43	0.02	0.95
FBgn0263120	0.12	0.02	0.02	0.78	-0.10	0.05	0.14	0.18	0.13	0.92	0.14	0.64
FBgn0031294	-0.17	0.05	0.11	0.29	0.28	0.00	-0.06	0.70	0.19	0.64	0.01	0.95
FBgn0039348	-0.01	0.82	0.02	0.71	0.04	0.51	0.01	0.92	0.91	0.89	0.67	0.99
FBgn0050497	0.09	0.16	-0.03	0.69	-0.12	0.06	0.06	0.62	0.39	0.88	0.16	0.94
FBgn0020503	-0.07	0.16	0.01	0.92	0.08	0.13	-0.07	0.50	0.38	0.97	0.27	0.90
FBgn0003721	-0.49	0.00	-0.32	0.00	0.16	0.04	-0.81	0.00	0.00	0.02	0.11	0.00
FBgn0259968	-0.26	0.00	-0.20	0.06	0.06	0.53	-0.47	0.01	0.04	0.34	0.69	0.11
FBgn0003074	-0.12	0.03	-0.18	0.00	-0.06	0.28	-0.31	0.00	0.13	0.09	0.46	0.06
FBgn0033953	0.03	0.60	-0.11	0.15	-0.14	0.03	-0.08	0.55	0.78	0.51	0.10	0.92
FBgn0010225	0.34	0.00	0.54	0.00	0.20	0.02	0.89	0.00	0.00	0.00	0.06	0.00
FBgn0011230	-0.04	0.72	0.02	0.84	0.06	0.55	-0.01	0.95	0.86	0.94	0.70	0.99
FBgn0039857	0.10	0.08	0.10	0.11	0.01	0.93	0.20	0.06	0.26	0.45	0.96	0.38
FBgn0036728	-0.19	0.00	-0.18	0.01	0.01	0.84	-0.37	0.00	0.01	0.13	0.91	0.02
FBgn0015222	-0.03	0.51	0.00	0.96	0.03	0.55	-0.04	0.71	0.72	0.99	0.70	0.96
FBgn0000100	-0.01	0.82	0.07	0.30	0.08	0.15	0.06	0.61	0.91	0.65	0.30	0.93
FBgn0261592	0.11	0.10	0.11	0.15	0.00	1.00	0.21	0.09	0.29	0.51	1.00	0.45
FBgn0033268	-0.11	0.13	0.00	0.96	0.11	0.11	-0.11	0.44	0.33	0.99	0.25	0.87
FBgn0050360	0.45	0.00	0.06	0.71	-0.39	0.01	0.51	0.06	0.02	0.89	0.03	0.38
FBgn0085436	0.11	0.13	0.07	0.42	-0.04	0.57	0.18	0.20	0.35	0.74	0.72	0.67
dsim_PG00114	0.06	0.57	-0.28	0.03	-0.34	0.00	-0.21	0.30	0.76	0.24	0.01	0.77
FBgn0031912	-0.31	0.00	-0.28	0.00	0.03	0.59	-0.58	0.00	0.00	0.00	0.73	0.00
FBgn0034435	0.00	0.97	-0.12	0.08	-0.13	0.04	-0.12	0.30	0.98	0.38	0.11	0.77
FBgn0017566	-0.21	0.00	-0.14	0.03	0.07	0.23	-0.35	0.00	0.00	0.26	0.40	0.03
FBgn0032481	0.04	0.50	-0.14	0.06	-0.18	0.00	-0.09	0.44	0.71	0.35	0.03	0.87
FBgn0035694	-0.40	0.00	-0.19	0.23	0.21	0.12	-0.59	0.02	0.03	0.59	0.25	0.20
FBgn0033446	-0.76	0.00	-0.51	0.00	0.24	0.01	-1.27	0.00	0.00	0.00	0.03	0.00
FBgn0260745	0.21	0.00	0.16	0.01	-0.05	0.39	0.37	0.00	0.00	0.15	0.57	0.01
FBgn0020618	-0.01	0.88	0.07	0.29	0.08	0.17	0.07	0.58	0.95	0.65	0.32	0.93
FBgn0002622	0.02	0.78	0.07	0.26	0.06	0.31	0.09	0.41	0.90	0.62	0.48	0.85
FBgn0005593	0.05	0.42	0.05	0.54	-0.01	0.92	0.10	0.43	0.64	0.81	0.96	0.86
FBgn0002868	-0.12	0.25	-0.15	0.23	-0.03	0.81	-0.28	0.19	0.49	0.60	0.89	0.65
FBgn0037643	-0.11	0.02	-0.18	0.00	-0.07	0.15	-0.29	0.00	0.13	0.04	0.29	0.03
FBgn0261602	0.08	0.14	0.10	0.10	0.02	0.69	0.19	0.08	0.35	0.43	0.81	0.43
FBgn0019624	-0.31	0.00	-0.20	0.01	0.11	0.09	-0.50	0.00	0.00	0.14	0.22	0.00
FBgn0045770	0.08	0.22	-0.17	0.03	-0.25	0.00	-0.08	0.50	0.45	0.25	0.00	0.90
FBgn0040687	0.18	0.02	-0.06	0.46	-0.24	0.00	0.11	0.42	0.10	0.76	0.01	0.86
FBgn0002593	0.10	0.09	0.11	0.10	0.01	0.81	0.22	0.06	0.28	0.42	0.89	0.37
FBgn0030616	0.09	0.13	0.07	0.29	-0.02	0.78	0.16	0.15	0.34	0.64	0.87	0.60
FBgn0021906	-0.32	0.00	-0.21	0.01	0.11	0.10	-0.53	0.00	0.00	0.12	0.23	0.00
FBgn0250832	0.01	0.91	-0.09	0.42	-0.10	0.30	-0.08	0.67	0.96	0.74	0.48	0.95
FBgn0263048	0.07	0.32	-0.09	0.26	-0.15	0.02	-0.02	0.88	0.56	0.62	0.08	0.99
FBgn0036837	0.01	0.94	0.02	0.78	0.02	0.81	0.03	0.84	0.97	0.92	0.89	0.98
FBgn0039858	-0.05	0.40	0.06	0.45	0.11	0.09	0.00	0.98	0.64	0.75	0.20	1.00
FBgn0259214	-0.14	0.02	-0.06	0.38	0.08	0.19	-0.21	0.08	0.11	0.71	0.35	0.43
FBgn0035542	-0.23	0.00	-0.10	0.18	0.13	0.05	-0.33	0.01	0.01	0.54	0.13	0.10
FBgn0031066	-0.28	0.00	-0.26	0.00	0.03	0.69	-0.54	0.00	0.00	0.03	0.81	0.00
FBgn0261439	-0.20	0.00	-0.23	0.00	-0.03	0.57	-0.42	0.00	0.00	0.01	0.72	0.00
FBgn0035198	0.13	0.04	-0.12	0.09	-0.24	0.00	0.01	0.96	0.17	0.41	0.00	0.99
FBgn0036106	0.30	0.01	0.34	0.01	0.04	0.72	0.64	0.00	0.05	0.13	0.83	0.05
FBgn0035670	0.26	0.02	0.03	0.79	-0.22	0.04	0.29	0.17	0.11	0.92	0.12	0.62
FBgn0010409	0.06	0.29	0.04	0.56	-0.02	0.70	0.10	0.37	0.53	0.82	0.82	0.83
FBgn0010435	0.11	0.01	0.05	0.36	-0.07	0.16	0.16	0.07	0.09	0.70	0.31	0.40
FBgn0020439	-0.15	0.01	-0.05	0.46	0.10	0.06	-0.20	0.06	0.05	0.76	0.15	0.37
FBgn0035032	-0.29	0.00	-0.29	0.00	0.00	0.98	-0.59	0.00	0.00	0.03	0.99	0.00
FBgn0029176	-0.07	0.21	-0.01	0.90	0.06	0.27	-0.08	0.47	0.45	0.96	0.44	0.88
FBgn0019644	-0.32	0.00	-0.28	0.00	0.03	0.71	-0.60	0.00	0.00	0.08	0.83	0.00
FBgn0002938	-0.14	0.04	-0.09	0.24	0.05	0.50	-0.23	0.07	0.17	0.60	0.66	0.42
FBgn0003067	0.75	0.00	0.83	0.00	0.08	0.65	1.58	0.00	0.00	0.00	0.78	0.00
FBgn0043841	0.08	0.19	0.11	0.12	0.03	0.61	0.19	0.11	0.43	0.46	0.75	0.50
FBgn0035600	-0.39	0.00	-0.24	0.00	0.14	0.05	-0.63	0.00	0.00	0.08	0.13	0.00
FBgn0003261	0.04	0.46	0.14	0.02	0.10	0.06	0.18	0.08	0.68	0.23	0.16	0.44
FBgn0085446	-0.17	0.03	0.03	0.79	0.20	0.02	-0.15	0.35	0.16	0.92	0.06	0.82
FBgn0003748	0.10	0.11	0.16	0.03	0.06	0.37	0.26	0.03	0.31	0.26	0.54	0.28
FBgn0023213	0.02	0.79	0.01	0.87	-0.01	0.93	0.03	0.81	0.90	0.95	0.96	0.97
FBgn0003889	0.07	0.30	-0.17	0.02	-0.24	0.00	-0.11	0.37	0.54	0.20	0.00	0.84
FBgn0001233	0.07	0.18	0.07	0.27	0.00	0.94	0.14	0.17	0.41	0.63	0.97	0.63
FBgn0262742	-0.21	0.01	-0.05	0.53	0.16	0.04	-0.26	0.07	0.04	0.80	0.11	0.39
FBgn0036663	-0.11	0.06	0.09	0.17	0.20	0.00	-0.02	0.88	0.22	0.54	0.01	0.99
FBgn0001218	-0.36	0.00	0.02	0.81	0.38	0.00	-0.34	0.03	0.00	0.93	0.00	0.23
FBgn0041605	-0.18	0.03	-0.11	0.24	0.06	0.45	-0.29	0.07	0.15	0.61	0.62	0.40
FBgn0038145	-0.15	0.00	-0.03	0.53	0.12	0.01	-0.19	0.03	0.01	0.80	0.04	0.27
FBgn0003941	0.05	0.36	0.07	0.27	0.02	0.72	0.12	0.26	0.60	0.63	0.83	0.73
FBgn0032208	0.00	0.95	-0.03	0.61	-0.04	0.52	-0.03	0.78	0.98	0.85	0.68	0.97
FBgn0002590	0.08	0.17	0.10	0.13	0.02	0.71	0.18	0.11	0.40	0.48	0.83	0.50
