Gene	logFC_BH	PValue_BH	logFC_BC	PValue_BC	logFC_HC	PValue_HC	logFC_LB	PValue_LB	FDR_BH	FDR_BC	FDR_HC	FDR_LB
FBgn0260723	-0.13	0.29	0.03	0.84	0.16	0.19	-0.10	0.66	0.53	0.94	0.35	0.95
FBgn0000524	-0.14	0.20	-0.06	0.64	0.08	0.46	-0.19	0.34	0.43	0.86	0.63	0.81
FBgn0053512	-0.16	0.08	0.02	0.87	0.18	0.05	-0.15	0.40	0.25	0.95	0.13	0.85
FBgn0260862	-0.03	0.68	0.17	0.07	0.21	0.01	0.14	0.39	0.83	0.36	0.05	0.84
FBgn0039086	0.04	0.65	0.11	0.31	0.06	0.48	0.15	0.40	0.81	0.66	0.64	0.85
FBgn0032059	-0.02	0.83	-0.05	0.63	-0.03	0.72	-0.07	0.69	0.92	0.85	0.84	0.95
FBgn0040814	0.16	0.12	-0.16	0.19	-0.31	0.00	0.00	1.00	0.33	0.55	0.02	1.00
FBgn0036391	-0.20	0.04	0.04	0.67	0.24	0.01	-0.15	0.39	0.16	0.88	0.04	0.85
FBgn0002869	-1.23	0.00	-0.59	0.15	0.64	0.06	-1.82	0.01	0.01	0.51	0.16	0.08
FBgn0036827	-0.10	0.26	-0.07	0.53	0.04	0.69	-0.17	0.33	0.50	0.80	0.81	0.81
FBgn0039864	-0.04	0.80	-0.25	0.14	-0.21	0.15	-0.29	0.30	0.90	0.49	0.30	0.78
FBgn0037602	-0.13	0.21	-0.27	0.02	-0.14	0.17	-0.40	0.04	0.45	0.23	0.33	0.31
FBgn0030969	0.06	0.47	0.03	0.78	-0.04	0.68	0.09	0.59	0.69	0.92	0.81	0.93
FBgn0260450	0.01	0.92	0.07	0.53	0.06	0.53	0.08	0.67	0.96	0.80	0.69	0.95
FBgn0035170	-0.10	0.26	0.11	0.26	0.21	0.01	0.01	0.94	0.50	0.62	0.06	0.99
dsim_PG00260	0.09	0.46	-0.02	0.89	-0.11	0.36	0.07	0.76	0.68	0.96	0.54	0.96
FBgn0031520	0.31	0.01	0.59	0.00	0.28	0.02	0.91	0.00	0.08	0.00	0.07	0.01
FBgn0039201	-0.10	0.39	-0.16	0.26	-0.06	0.65	-0.27	0.26	0.63	0.62	0.78	0.73
FBgn0261535	0.03	0.74	0.00	0.96	-0.03	0.78	0.04	0.84	0.87	0.99	0.87	0.98
FBgn0040575	-0.03	0.80	-0.09	0.46	-0.06	0.55	-0.12	0.56	0.90	0.76	0.70	0.92
FBgn0052354	-0.24	0.00	-0.03	0.69	0.21	0.01	-0.28	0.06	0.02	0.88	0.03	0.37
FBgn0035148	0.06	0.49	-0.01	0.95	-0.07	0.44	0.05	0.75	0.70	0.98	0.61	0.96
FBgn0010501	0.19	0.04	0.21	0.06	0.02	0.87	0.40	0.03	0.18	0.33	0.93	0.24
FBgn0034447	-0.01	0.90	0.07	0.59	0.08	0.45	0.05	0.80	0.95	0.84	0.62	0.97
FBgn0030067	-0.13	0.16	-0.04	0.70	0.09	0.34	-0.18	0.34	0.39	0.89	0.51	0.81
FBgn0029718	-0.04	0.68	0.09	0.40	0.12	0.16	0.05	0.78	0.83	0.73	0.32	0.97
FBgn0032346	0.13	0.25	-0.16	0.24	-0.29	0.01	-0.03	0.91	0.49	0.60	0.05	0.99
FBgn0029094	-0.06	0.51	-0.08	0.47	-0.02	0.86	-0.14	0.44	0.72	0.77	0.92	0.87
FBgn0085220	-0.10	0.17	-0.16	0.07	-0.06	0.47	-0.27	0.07	0.40	0.37	0.64	0.41
FBgn0050072	0.20	0.02	-0.17	0.11	-0.38	0.00	0.03	0.86	0.12	0.44	0.00	0.98
FBgn0010342	-0.11	0.30	-0.08	0.49	0.02	0.81	-0.19	0.33	0.54	0.78	0.89	0.81
FBgn0036747	0.06	0.67	-0.17	0.30	-0.23	0.11	-0.11	0.69	0.82	0.66	0.23	0.95
FBgn0036536	0.21	0.12	-0.18	0.25	-0.38	0.00	0.03	0.90	0.32	0.62	0.02	0.99
FBgn0085209	-0.46	0.00	-0.93	0.00	-0.48	0.00	-1.39	0.00	0.04	0.00	0.03	0.00
FBgn0044871	-0.02	0.79	0.10	0.36	0.12	0.18	0.07	0.68	0.90	0.70	0.34	0.95
FBgn0000092	0.58	0.00	0.71	0.00	0.13	0.44	1.29	0.00	0.02	0.02	0.61	0.01
FBgn0051344	-0.17	0.11	-0.10	0.41	0.07	0.50	-0.28	0.18	0.30	0.73	0.67	0.64
FBgn0034796	0.15	0.12	0.25	0.03	0.10	0.32	0.41	0.03	0.33	0.24	0.49	0.27
FBgn0052191	-0.02	0.85	-0.03	0.83	-0.01	0.95	-0.04	0.82	0.93	0.94	0.97	0.98
FBgn0034493	-0.01	0.89	0.13	0.23	0.14	0.12	0.12	0.52	0.95	0.59	0.26	0.90
FBgn0031782	-0.08	0.35	0.04	0.69	0.12	0.16	-0.04	0.80	0.59	0.88	0.31	0.97
FBgn0030360	0.16	0.06	0.10	0.28	-0.06	0.49	0.26	0.10	0.21	0.64	0.65	0.49
FBgn0053052	-0.23	0.01	-0.06	0.55	0.17	0.04	-0.28	0.07	0.05	0.81	0.11	0.40
FBgn0052945	-0.02	0.85	-0.17	0.13	-0.16	0.12	-0.19	0.31	0.93	0.48	0.26	0.78
FBgn0062412	0.13	0.24	0.11	0.39	-0.02	0.84	0.24	0.26	0.47	0.72	0.91	0.73
FBgn0052104	-0.09	0.40	0.08	0.48	0.17	0.10	0.00	0.98	0.63	0.77	0.22	1.00
FBgn0022338	-0.09	0.25	-0.02	0.78	0.07	0.40	-0.12	0.44	0.49	0.92	0.57	0.87
FBgn0036846	-0.13	0.14	0.07	0.48	0.21	0.02	-0.06	0.73	0.36	0.77	0.08	0.96
FBgn0037996	-1.63	0.00	-0.85	0.04	0.78	0.02	-2.48	0.00	0.00	0.29	0.08	0.00
FBgn0031822	0.06	0.54	-0.03	0.82	-0.09	0.38	0.03	0.86	0.74	0.93	0.55	0.98
FBgn0030058	0.13	0.29	-0.11	0.42	-0.24	0.05	0.01	0.95	0.53	0.74	0.13	0.99
FBgn0038666	-0.03	0.75	0.03	0.79	0.06	0.53	0.00	0.99	0.87	0.92	0.69	1.00
dsim_PG00108	0.18	0.29	0.13	0.51	-0.05	0.76	0.31	0.34	0.53	0.79	0.86	0.82
FBgn0019686	0.09	0.36	0.24	0.03	0.15	0.12	0.33	0.08	0.60	0.27	0.26	0.44
FBgn0085387	-0.35	0.08	-0.01	0.98	0.34	0.08	-0.35	0.35	0.26	0.99	0.20	0.82
FBgn0022772	0.13	0.21	-0.11	0.39	-0.24	0.02	0.03	0.89	0.44	0.72	0.08	0.99
FBgn0265313	0.13	0.16	0.31	0.00	0.18	0.04	0.44	0.01	0.38	0.07	0.12	0.14
FBgn0265002	-0.09	0.37	-0.05	0.67	0.04	0.69	-0.14	0.47	0.61	0.87	0.81	0.88
FBgn0052736	-0.03	0.78	-0.08	0.51	-0.05	0.63	-0.11	0.59	0.90	0.79	0.77	0.93
FBgn0033380	-0.14	0.08	0.06	0.50	0.20	0.01	-0.08	0.59	0.26	0.79	0.05	0.93
FBgn0032853	-0.01	0.89	-0.09	0.37	-0.08	0.37	-0.11	0.53	0.95	0.70	0.54	0.91
FBgn0037250	0.07	0.40	0.22	0.02	0.15	0.07	0.30	0.07	0.63	0.22	0.18	0.41
FBgn0052726	0.40	0.00	0.18	0.07	-0.22	0.01	0.58	0.00	0.00	0.37	0.03	0.01
FBgn0031740	-0.01	0.87	0.09	0.34	0.10	0.20	0.08	0.63	0.94	0.69	0.37	0.94
FBgn0038606	-0.27	0.02	0.07	0.60	0.33	0.00	-0.20	0.34	0.09	0.84	0.02	0.81
FBgn0263034	0.06	0.58	-0.27	0.05	-0.33	0.01	-0.20	0.37	0.76	0.32	0.03	0.83
FBgn0039816	0.00	0.98	0.13	0.18	0.13	0.13	0.13	0.42	0.99	0.54	0.27	0.86
FBgn0034411	0.02	0.82	-0.14	0.17	-0.17	0.07	-0.12	0.48	0.91	0.53	0.18	0.89
FBgn0052803	-0.06	0.49	0.11	0.30	0.17	0.06	0.04	0.80	0.70	0.65	0.15	0.97
FBgn0034327	0.07	0.44	-0.05	0.64	-0.12	0.19	0.02	0.91	0.67	0.86	0.35	0.99
FBgn0050480	-0.20	0.05	-0.08	0.51	0.13	0.23	-0.28	0.15	0.20	0.79	0.39	0.60
FBgn0026702	0.01	0.91	0.02	0.87	0.01	0.94	0.03	0.87	0.96	0.95	0.97	0.98
FBgn0040506	0.13	0.23	-0.03	0.81	-0.16	0.14	0.10	0.63	0.47	0.93	0.29	0.94
FBgn0030634	-0.14	0.09	-0.01	0.94	0.14	0.10	-0.15	0.34	0.27	0.98	0.23	0.82
FBgn0031926	-0.16	0.14	-0.14	0.28	0.02	0.83	-0.30	0.15	0.36	0.63	0.91	0.60
FBgn0037781	-0.05	0.66	-0.07	0.64	-0.01	0.92	-0.12	0.61	0.82	0.86	0.96	0.93
FBgn0051690	-0.26	0.00	-0.10	0.29	0.16	0.08	-0.37	0.03	0.03	0.65	0.18	0.23
FBgn0036089	0.20	0.06	-0.24	0.05	-0.44	0.00	-0.05	0.82	0.22	0.31	0.00	0.97
FBgn0052409	-0.03	0.76	0.11	0.29	0.14	0.12	0.08	0.63	0.89	0.64	0.26	0.94
FBgn0038312	-0.29	0.00	-0.02	0.88	0.27	0.00	-0.31	0.09	0.03	0.95	0.02	0.45
FBgn0032870	-0.08	0.41	-0.09	0.40	-0.01	0.89	-0.17	0.35	0.64	0.73	0.94	0.82
FBgn0016032	-0.13	0.10	0.04	0.67	0.17	0.03	-0.09	0.55	0.30	0.87	0.10	0.92
FBgn0036426	0.24	0.04	-0.07	0.59	-0.31	0.01	0.16	0.46	0.17	0.83	0.03	0.88
FBgn0032013	-0.23	0.02	-0.05	0.64	0.18	0.06	-0.28	0.12	0.09	0.86	0.15	0.53
FBgn0033933	0.20	0.10	-0.15	0.29	-0.36	0.00	0.05	0.84	0.30	0.64	0.02	0.98
FBgn0037130	-0.35	0.00	-0.07	0.55	0.28	0.01	-0.42	0.04	0.01	0.81	0.04	0.29
FBgn0001079	-0.15	0.08	0.06	0.54	0.20	0.01	-0.09	0.57	0.26	0.81	0.05	0.93
FBgn0035479	-0.05	0.63	-0.30	0.01	-0.25	0.02	-0.35	0.08	0.80	0.18	0.07	0.44
FBgn0036028	0.02	0.83	0.04	0.74	0.02	0.87	0.07	0.75	0.92	0.90	0.93	0.96
FBgn0031098	-0.18	0.05	0.13	0.18	0.31	0.00	-0.05	0.78	0.19	0.54	0.00	0.97
FBgn0036094	-0.38	0.00	-0.47	0.00	-0.09	0.34	-0.85	0.00	0.00	0.00	0.52	0.00
FBgn0036764	0.10	0.36	0.14	0.26	0.04	0.70	0.24	0.25	0.60	0.62	0.82	0.73
FBgn0035816	-0.17	0.09	-0.09	0.47	0.09	0.39	-0.26	0.19	0.28	0.77	0.56	0.65
FBgn0032030	-0.21	0.01	-0.02	0.81	0.19	0.03	-0.23	0.15	0.09	0.93	0.09	0.59
FBgn0037543	0.12	0.18	-0.14	0.17	-0.26	0.00	-0.02	0.89	0.41	0.54	0.02	0.99
FBgn0015038	0.15	0.28	-0.12	0.45	-0.27	0.05	0.03	0.91	0.52	0.76	0.14	0.99
FBgn0031026	0.03	0.81	-0.15	0.27	-0.18	0.13	-0.12	0.59	0.91	0.63	0.27	0.93
FBgn0260446	-0.02	0.90	0.08	0.61	0.09	0.47	0.06	0.81	0.95	0.84	0.64	0.97
FBgn0027872	-0.10	0.24	-0.03	0.78	0.07	0.39	-0.12	0.44	0.48	0.92	0.57	0.87
FBgn0261697	-0.02	0.86	-0.05	0.64	-0.04	0.72	-0.07	0.71	0.93	0.86	0.83	0.96
FBgn0038277	0.06	0.58	0.05	0.67	-0.01	0.95	0.12	0.58	0.76	0.87	0.97	0.93
FBgn0028708	-0.08	0.44	0.08	0.52	0.16	0.13	0.00	0.99	0.67	0.80	0.27	1.00
FBgn0036335	0.08	0.40	0.03	0.81	-0.05	0.57	0.10	0.56	0.63	0.93	0.72	0.92
FBgn0086913	-0.29	0.00	-0.11	0.23	0.18	0.04	-0.40	0.01	0.01	0.60	0.11	0.13
FBgn0032896	0.09	0.36	0.11	0.34	0.02	0.85	0.20	0.29	0.60	0.68	0.91	0.77
FBgn0038672	0.00	0.98	-0.07	0.61	-0.07	0.57	-0.07	0.75	0.99	0.85	0.72	0.96
FBgn0031603	-0.15	0.11	0.00	1.00	0.15	0.11	-0.15	0.40	0.31	1.00	0.23	0.85
FBgn0033526	0.21	0.39	0.47	0.09	0.26	0.27	0.67	0.15	0.62	0.41	0.44	0.59
FBgn0004620	-0.42	0.00	-0.25	0.05	0.17	0.13	-0.67	0.00	0.00	0.33	0.28	0.03
FBgn0038989	-0.08	0.34	0.10	0.32	0.18	0.03	0.01	0.93	0.58	0.67	0.10	0.99
FBgn0050373	0.06	0.50	0.06	0.54	0.00	0.98	0.13	0.47	0.71	0.81	0.99	0.88
FBgn0263389	0.24	0.05	-0.11	0.45	-0.35	0.00	0.13	0.57	0.19	0.76	0.03	0.93
FBgn0028919	0.25	0.01	-0.04	0.72	-0.28	0.00	0.21	0.24	0.05	0.89	0.01	0.71
